"k_hat","m"
3,10
0,10
2,10
0,10
0,10
2,10
1,10
2,10
2,10
0,10
0,10
1,10
2,10
3,10
0,10
0,10
0,10
3,10
0,10
0,10
4,10
3,10
1,10
1,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
1,10
1,10
1,10
3,10
2,10
0,10
0,10
2,10
0,10
0,10
1,10
1,10
0,10
3,10
0,10
2,10
2,10
0,10
0,10
0,10
0,10
1,10
1,10
2,10
1,10
3,10
1,10
1,10
1,10
1,10
1,10
2,10
3,10
1,10
0,10
0,10
4,10
0,10
2,10
0,10
0,10
4,10
1,10
2,10
2,10
1,10
0,10
1,10
0,10
0,10
2,10
2,10
0,10
0,10
0,10
2,10
2,10
1,10
0,10
0,10
0,10
2,10
1,10
11,100
1,100
6,100
5,100
7,100
0,100
6,100
1,100
3,100
1,100
3,100
11,100
4,100
2,100
6,100
6,100
0,100
9,100
9,100
5,100
1,100
6,100
5,100
9,100
11,100
8,100
11,100
3,100
5,100
0,100
6,100
9,100
6,100
7,100
9,100
8,100
8,100
3,100
1,100
5,100
7,100
3,100
4,100
7,100
4,100
8,100
9,100
4,100
5,100
1,100
6,100
1,100
3,100
2,100
0,100
10,100
12,100
8,100
2,100
2,100
10,100
7,100
6,100
1,100
10,100
12,100
2,100
14,100
10,100
7,100
4,100
10,100
12,100
0,100
4,100
2,100
4,100
5,100
3,100
18,100
4,100
1,100
4,100
12,100
2,100
9,100
0,100
1,100
1,100
5,100
1,100
2,100
8,100
8,100
4,100
10,100
0,100
1,100
1,100
0,100
31,1000
68,1000
66,1000
57,1000
51,1000
56,1000
37,1000
59,1000
35,1000
56,1000
38,1000
38,1000
57,1000
39,1000
27,1000
60,1000
59,1000
27,1000
42,1000
43,1000
32,1000
59,1000
45,1000
70,1000
56,1000
63,1000
46,1000
63,1000
64,1000
58,1000
52,1000
52,1000
40,1000
37,1000
66,1000
72,1000
48,1000
55,1000
91,1000
68,1000
46,1000
26,1000
41,1000
62,1000
56,1000
56,1000
27,1000
51,1000
53,1000
55,1000
42,1000
28,1000
27,1000
56,1000
33,1000
50,1000
26,1000
71,1000
58,1000
76,1000
40,1000
39,1000
65,1000
68,1000
45,1000
40,1000
46,1000
48,1000
49,1000
76,1000
42,1000
37,1000
75,1000
57,1000
61,1000
49,1000
39,1000
45,1000
63,1000
34,1000
30,1000
35,1000
38,1000
66,1000
68,1000
57,1000
42,1000
32,1000
65,1000
43,1000
68,1000
17,1000
31,1000
78,1000
71,1000
45,1000
60,1000
49,1000
61,1000
57,1000
510,10000
448,10000
476,10000
527,10000
502,10000
454,10000
459,10000
555,10000
506,10000
435,10000
460,10000
439,10000
436,10000
512,10000
463,10000
395,10000
431,10000
629,10000
406,10000
410,10000
608,10000
465,10000
454,10000
519,10000
437,10000
497,10000
447,10000
507,10000
452,10000
454,10000
598,10000
532,10000
395,10000
401,10000
476,10000
506,10000
448,10000
448,10000
515,10000
531,10000
472,10000
504,10000
535,10000
517,10000
370,10000
474,10000
498,10000
439,10000
555,10000
385,10000
505,10000
495,10000
480,10000
482,10000
482,10000
459,10000
464,10000
513,10000
493,10000
497,10000
444,10000
435,10000
455,10000
447,10000
488,10000
378,10000
378,10000
438,10000
452,10000
533,10000
533,10000
518,10000
441,10000
453,10000
518,10000
456,10000
553,10000
485,10000
442,10000
546,10000
529,10000
492,10000
466,10000
470,10000
472,10000
522,10000
470,10000
501,10000
488,10000
500,10000
539,10000
552,10000
430,10000
474,10000
450,10000
486,10000
414,10000
523,10000
473,10000
507,10000
3,10
0,10
2,10
0,10
0,10
2,10
1,10
2,10
2,10
0,10
0,10
1,10
2,10
3,10
0,10
0,10
0,10
3,10
0,10
0,10
4,10
3,10
1,10
1,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
1,10
1,10
1,10
3,10
2,10
0,10
0,10
2,10
0,10
0,10
1,10
1,10
0,10
3,10
0,10
2,10
2,10
0,10
0,10
0,10
0,10
1,10
1,10
2,10
1,10
3,10
1,10
1,10
1,10
1,10
1,10
2,10
3,10
1,10
0,10
0,10
4,10
0,10
2,10
0,10
0,10
4,10
1,10
2,10
2,10
1,10
0,10
1,10
0,10
0,10
2,10
2,10
0,10
0,10
0,10
2,10
2,10
1,10
0,10
0,10
0,10
2,10
1,10
11,100
1,100
6,100
5,100
7,100
0,100
6,100
1,100
3,100
1,100
3,100
11,100
4,100
2,100
6,100
6,100
0,100
9,100
9,100
5,100
1,100
6,100
5,100
9,100
11,100
8,100
11,100
3,100
5,100
0,100
6,100
9,100
6,100
7,100
9,100
8,100
8,100
3,100
1,100
5,100
7,100
3,100
4,100
7,100
4,100
8,100
9,100
4,100
5,100
1,100
6,100
1,100
3,100
2,100
0,100
10,100
12,100
8,100
2,100
2,100
10,100
7,100
6,100
1,100
10,100
12,100
2,100
14,100
10,100
7,100
4,100
10,100
12,100
0,100
4,100
2,100
4,100
5,100
3,100
18,100
4,100
1,100
4,100
12,100
2,100
9,100
0,100
1,100
1,100
5,100
1,100
2,100
8,100
8,100
4,100
10,100
0,100
1,100
1,100
0,100
31,1000
68,1000
66,1000
57,1000
51,1000
56,1000
37,1000
59,1000
35,1000
56,1000
38,1000
38,1000
57,1000
39,1000
27,1000
60,1000
59,1000
27,1000
42,1000
43,1000
32,1000
59,1000
45,1000
70,1000
56,1000
63,1000
46,1000
63,1000
64,1000
58,1000
52,1000
52,1000
40,1000
37,1000
66,1000
72,1000
48,1000
55,1000
91,1000
68,1000
46,1000
26,1000
41,1000
62,1000
56,1000
56,1000
27,1000
51,1000
53,1000
55,1000
42,1000
28,1000
27,1000
56,1000
33,1000
50,1000
26,1000
71,1000
58,1000
76,1000
40,1000
39,1000
65,1000
68,1000
45,1000
40,1000
46,1000
48,1000
49,1000
76,1000
42,1000
37,1000
75,1000
57,1000
61,1000
49,1000
39,1000
45,1000
63,1000
34,1000
30,1000
35,1000
38,1000
66,1000
68,1000
57,1000
42,1000
32,1000
65,1000
43,1000
68,1000
17,1000
31,1000
78,1000
71,1000
45,1000
60,1000
49,1000
61,1000
57,1000
510,10000
448,10000
476,10000
527,10000
502,10000
454,10000
459,10000
555,10000
506,10000
435,10000
460,10000
439,10000
436,10000
512,10000
463,10000
395,10000
431,10000
629,10000
406,10000
410,10000
608,10000
465,10000
454,10000
519,10000
437,10000
497,10000
447,10000
507,10000
452,10000
454,10000
598,10000
532,10000
395,10000
401,10000
476,10000
506,10000
448,10000
448,10000
515,10000
531,10000
472,10000
504,10000
535,10000
517,10000
370,10000
474,10000
498,10000
439,10000
555,10000
385,10000
505,10000
495,10000
480,10000
482,10000
482,10000
459,10000
464,10000
513,10000
493,10000
497,10000
444,10000
435,10000
455,10000
447,10000
488,10000
378,10000
378,10000
438,10000
452,10000
533,10000
533,10000
518,10000
441,10000
453,10000
518,10000
456,10000
553,10000
485,10000
442,10000
546,10000
529,10000
492,10000
466,10000
470,10000
472,10000
522,10000
470,10000
501,10000
488,10000
500,10000
539,10000
552,10000
430,10000
474,10000
450,10000
486,10000
414,10000
523,10000
473,10000
507,10000
3,10
0,10
2,10
0,10
0,10
2,10
1,10
2,10
2,10
0,10
0,10
1,10
2,10
3,10
0,10
0,10
0,10
3,10
0,10
0,10
4,10
3,10
1,10
1,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
1,10
1,10
1,10
3,10
2,10
0,10
0,10
2,10
0,10
0,10
1,10
1,10
0,10
3,10
0,10
2,10
2,10
0,10
0,10
0,10
0,10
1,10
1,10
2,10
1,10
3,10
1,10
1,10
1,10
1,10
1,10
2,10
3,10
1,10
0,10
0,10
4,10
0,10
2,10
0,10
0,10
4,10
1,10
2,10
2,10
1,10
0,10
1,10
0,10
0,10
2,10
2,10
0,10
0,10
0,10
2,10
2,10
1,10
0,10
0,10
0,10
2,10
1,10
11,100
1,100
6,100
5,100
7,100
0,100
6,100
1,100
3,100
1,100
3,100
11,100
4,100
2,100
6,100
6,100
0,100
9,100
9,100
5,100
1,100
6,100
5,100
9,100
11,100
8,100
11,100
3,100
5,100
0,100
6,100
9,100
6,100
7,100
9,100
8,100
8,100
3,100
1,100
5,100
7,100
3,100
4,100
7,100
4,100
8,100
9,100
4,100
5,100
1,100
6,100
1,100
3,100
2,100
0,100
10,100
12,100
8,100
2,100
2,100
10,100
7,100
6,100
1,100
10,100
12,100
2,100
14,100
10,100
7,100
4,100
10,100
12,100
0,100
4,100
2,100
4,100
5,100
3,100
18,100
4,100
1,100
4,100
12,100
2,100
9,100
0,100
1,100
1,100
5,100
1,100
2,100
8,100
8,100
4,100
10,100
0,100
1,100
1,100
0,100
31,1000
68,1000
66,1000
57,1000
51,1000
56,1000
37,1000
59,1000
35,1000
56,1000
38,1000
38,1000
57,1000
39,1000
27,1000
60,1000
59,1000
27,1000
42,1000
43,1000
32,1000
59,1000
45,1000
70,1000
56,1000
63,1000
46,1000
63,1000
64,1000
58,1000
52,1000
52,1000
40,1000
37,1000
66,1000
72,1000
48,1000
55,1000
91,1000
68,1000
46,1000
26,1000
41,1000
62,1000
56,1000
56,1000
27,1000
51,1000
53,1000
55,1000
42,1000
28,1000
27,1000
56,1000
33,1000
50,1000
26,1000
71,1000
58,1000
76,1000
40,1000
39,1000
65,1000
68,1000
45,1000
40,1000
46,1000
48,1000
49,1000
76,1000
42,1000
37,1000
75,1000
57,1000
61,1000
49,1000
39,1000
45,1000
63,1000
34,1000
30,1000
35,1000
38,1000
66,1000
68,1000
57,1000
42,1000
32,1000
65,1000
43,1000
68,1000
17,1000
31,1000
78,1000
71,1000
45,1000
60,1000
49,1000
61,1000
57,1000
510,10000
448,10000
476,10000
527,10000
502,10000
454,10000
459,10000
555,10000
506,10000
435,10000
460,10000
439,10000
436,10000
512,10000
463,10000
395,10000
431,10000
629,10000
406,10000
410,10000
608,10000
465,10000
454,10000
519,10000
437,10000
497,10000
447,10000
507,10000
452,10000
454,10000
598,10000
532,10000
395,10000
401,10000
476,10000
506,10000
448,10000
448,10000
515,10000
531,10000
472,10000
504,10000
535,10000
517,10000
370,10000
474,10000
498,10000
439,10000
555,10000
385,10000
505,10000
495,10000
480,10000
482,10000
482,10000
459,10000
464,10000
513,10000
493,10000
497,10000
444,10000
435,10000
455,10000
447,10000
488,10000
378,10000
378,10000
438,10000
452,10000
533,10000
533,10000
518,10000
441,10000
453,10000
518,10000
456,10000
553,10000
485,10000
442,10000
546,10000
529,10000
492,10000
466,10000
470,10000
472,10000
522,10000
470,10000
501,10000
488,10000
500,10000
539,10000
552,10000
430,10000
474,10000
450,10000
486,10000
414,10000
523,10000
473,10000
507,10000
3,10
0,10
2,10
0,10
0,10
2,10
1,10
2,10
2,10
0,10
0,10
1,10
2,10
3,10
0,10
0,10
0,10
3,10
0,10
0,10
4,10
3,10
1,10
1,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
1,10
1,10
1,10
3,10
2,10
0,10
0,10
2,10
0,10
0,10
1,10
1,10
0,10
3,10
0,10
2,10
2,10
0,10
0,10
0,10
0,10
1,10
1,10
2,10
1,10
3,10
1,10
1,10
1,10
1,10
1,10
2,10
3,10
1,10
0,10
0,10
4,10
0,10
2,10
0,10
0,10
4,10
1,10
2,10
2,10
1,10
0,10
1,10
0,10
0,10
2,10
2,10
0,10
0,10
0,10
2,10
2,10
1,10
0,10
0,10
0,10
2,10
1,10
11,100
1,100
6,100
5,100
7,100
0,100
6,100
1,100
3,100
1,100
3,100
11,100
4,100
2,100
6,100
6,100
0,100
9,100
9,100
5,100
1,100
6,100
5,100
9,100
11,100
8,100
11,100
3,100
5,100
0,100
6,100
9,100
6,100
7,100
9,100
8,100
8,100
3,100
1,100
5,100
7,100
3,100
4,100
7,100
4,100
8,100
9,100
4,100
5,100
1,100
6,100
1,100
3,100
2,100
0,100
10,100
12,100
8,100
2,100
2,100
10,100
7,100
6,100
1,100
10,100
12,100
2,100
14,100
10,100
7,100
4,100
10,100
12,100
0,100
4,100
2,100
4,100
5,100
3,100
18,100
4,100
1,100
4,100
12,100
2,100
9,100
0,100
1,100
1,100
5,100
1,100
2,100
8,100
8,100
4,100
10,100
0,100
1,100
1,100
0,100
31,1000
68,1000
66,1000
57,1000
51,1000
56,1000
37,1000
59,1000
35,1000
56,1000
38,1000
38,1000
57,1000
39,1000
27,1000
60,1000
59,1000
27,1000
42,1000
43,1000
32,1000
59,1000
45,1000
70,1000
56,1000
63,1000
46,1000
63,1000
64,1000
58,1000
52,1000
52,1000
40,1000
37,1000
66,1000
72,1000
48,1000
55,1000
91,1000
68,1000
46,1000
26,1000
41,1000
62,1000
56,1000
56,1000
27,1000
51,1000
53,1000
55,1000
42,1000
28,1000
27,1000
56,1000
33,1000
50,1000
26,1000
71,1000
58,1000
76,1000
40,1000
39,1000
65,1000
68,1000
45,1000
40,1000
46,1000
48,1000
49,1000
76,1000
42,1000
37,1000
75,1000
57,1000
61,1000
49,1000
39,1000
45,1000
63,1000
34,1000
30,1000
35,1000
38,1000
66,1000
68,1000
57,1000
42,1000
32,1000
65,1000
43,1000
68,1000
17,1000
31,1000
78,1000
71,1000
45,1000
60,1000
49,1000
61,1000
57,1000
510,10000
448,10000
476,10000
527,10000
502,10000
454,10000
459,10000
555,10000
506,10000
435,10000
460,10000
439,10000
436,10000
512,10000
463,10000
395,10000
431,10000
629,10000
406,10000
410,10000
608,10000
465,10000
454,10000
519,10000
437,10000
497,10000
447,10000
507,10000
452,10000
454,10000
598,10000
532,10000
395,10000
401,10000
476,10000
506,10000
448,10000
448,10000
515,10000
531,10000
472,10000
504,10000
535,10000
517,10000
370,10000
474,10000
498,10000
439,10000
555,10000
385,10000
505,10000
495,10000
480,10000
482,10000
482,10000
459,10000
464,10000
513,10000
493,10000
497,10000
444,10000
435,10000
455,10000
447,10000
488,10000
378,10000
378,10000
438,10000
452,10000
533,10000
533,10000
518,10000
441,10000
453,10000
518,10000
456,10000
553,10000
485,10000
442,10000
546,10000
529,10000
492,10000
466,10000
470,10000
472,10000
522,10000
470,10000
501,10000
488,10000
500,10000
539,10000
552,10000
430,10000
474,10000
450,10000
486,10000
414,10000
523,10000
473,10000
507,10000
