"k_hat","m"
471,10000
486,10000
429,10000
537,10000
433,10000
394,10000
459,10000
437,10000
398,10000
561,10000
486,10000
379,10000
399,10000
398,10000
460,10000
467,10000
397,10000
566,10000
543,10000
496,10000
459,10000
466,10000
566,10000
510,10000
548,10000
523,10000
480,10000
496,10000
434,10000
418,10000
459,10000
554,10000
505,10000
506,10000
452,10000
452,10000
497,10000
544,10000
525,10000
484,10000
479,10000
437,10000
447,10000
494,10000
436,10000
469,10000
527,10000
494,10000
473,10000
504,10000
523,10000
554,10000
538,10000
470,10000
434,10000
419,10000
452,10000
568,10000
505,10000
489,10000
425,10000
565,10000
602,10000
489,10000
444,10000
374,10000
437,10000
480,10000
361,10000
463,10000
457,10000
498,10000
544,10000
517,10000
370,10000
508,10000
517,10000
505,10000
449,10000
471,10000
533,10000
450,10000
398,10000
499,10000
425,10000
519,10000
394,10000
551,10000
414,10000
350,10000
1,10
3,10
1,10
1,10
1,10
0,10
0,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
0,10
1,10
0,10
1,10
0,10
2,10
2,10
0,10
0,10
3,10
4,10
1,10
0,10
0,10
2,10
0,10
0,10
2,10
0,10
1,10
0,10
1,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
0,10
0,10
0,10
2,10
3,10
0,10
0,10
1,10
2,10
2,10
0,10
1,10
1,10
2,10
0,10
2,10
0,10
0,10
3,10
0,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
2,10
1,10
0,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
0,10
0,10
3,10
5,10
0,10
0,10
3,100
7,100
7,100
10,100
8,100
2,100
8,100
5,100
1,100
10,100
7,100
14,100
8,100
6,100
0,100
4,100
0,100
11,100
1,100
6,100
5,100
6,100
5,100
3,100
19,100
1,100
5,100
4,100
9,100
5,100
4,100
2,100
5,100
0,100
21,100
10,100
8,100
6,100
3,100
13,100
4,100
12,100
4,100
1,100
0,100
6,100
2,100
6,100
5,100
12,100
2,100
5,100
8,100
0,100
15,100
11,100
0,100
4,100
8,100
0,100
7,100
21,100
2,100
14,100
11,100
3,100
7,100
2,100
10,100
2,100
7,100
0,100
0,100
3,100
7,100
6,100
8,100
5,100
3,100
4,100
7,100
10,100
6,100
3,100
8,100
3,100
11,100
5,100
15,100
4,100
5,100
8,100
1,100
4,100
6,100
8,100
6,100
17,100
10,100
7,100
55,1000
65,1000
45,1000
46,1000
25,1000
54,1000
53,1000
24,1000
48,1000
67,1000
43,1000
57,1000
57,1000
27,1000
18,1000
50,1000
40,1000
69,1000
40,1000
38,1000
70,1000
34,1000
38,1000
76,1000
62,1000
36,1000
51,1000
43,1000
45,1000
62,1000
44,1000
40,1000
53,1000
50,1000
49,1000
68,1000
78,1000
45,1000
35,1000
47,1000
76,1000
29,1000
56,1000
48,1000
53,1000
68,1000
52,1000
44,1000
48,1000
59,1000
47,1000
39,1000
45,1000
62,1000
65,1000
36,1000
40,1000
59,1000
45,1000
46,1000
48,1000
52,1000
67,1000
44,1000
57,1000
38,1000
72,1000
53,1000
68,1000
39,1000
34,1000
59,1000
29,1000
55,1000
55,1000
95,1000
55,1000
58,1000
55,1000
21,1000
52,1000
46,1000
47,1000
57,1000
37,1000
25,1000
34,1000
44,1000
48,1000
60,1000
38,1000
37,1000
67,1000
44,1000
44,1000
27,1000
72,1000
27,1000
46,1000
54,1000
480,10000
479,10000
405,10000
476,10000
476,10000
433,10000
483,10000
432,10000
568,10000
470,10000
471,10000
486,10000
429,10000
537,10000
433,10000
394,10000
459,10000
437,10000
398,10000
561,10000
486,10000
379,10000
399,10000
398,10000
460,10000
467,10000
397,10000
566,10000
543,10000
496,10000
459,10000
466,10000
566,10000
510,10000
548,10000
523,10000
480,10000
496,10000
434,10000
418,10000
459,10000
554,10000
505,10000
506,10000
452,10000
452,10000
497,10000
544,10000
525,10000
484,10000
479,10000
437,10000
447,10000
494,10000
436,10000
469,10000
527,10000
494,10000
473,10000
504,10000
523,10000
554,10000
538,10000
470,10000
434,10000
419,10000
452,10000
568,10000
505,10000
489,10000
425,10000
565,10000
602,10000
489,10000
444,10000
374,10000
437,10000
480,10000
361,10000
463,10000
457,10000
498,10000
544,10000
517,10000
370,10000
508,10000
517,10000
505,10000
449,10000
471,10000
533,10000
450,10000
398,10000
499,10000
425,10000
519,10000
394,10000
551,10000
414,10000
350,10000
1,10
3,10
1,10
1,10
1,10
0,10
0,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
0,10
1,10
0,10
1,10
0,10
2,10
2,10
0,10
0,10
3,10
4,10
1,10
0,10
0,10
2,10
0,10
0,10
2,10
0,10
1,10
0,10
1,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
0,10
0,10
0,10
2,10
3,10
0,10
0,10
1,10
2,10
2,10
0,10
1,10
1,10
2,10
0,10
2,10
0,10
0,10
3,10
0,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
2,10
1,10
0,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
0,10
0,10
3,10
5,10
0,10
0,10
3,100
7,100
7,100
10,100
8,100
2,100
8,100
5,100
1,100
10,100
7,100
14,100
8,100
6,100
0,100
4,100
0,100
11,100
1,100
6,100
5,100
6,100
5,100
3,100
19,100
1,100
5,100
4,100
9,100
5,100
4,100
2,100
5,100
0,100
21,100
10,100
8,100
6,100
3,100
13,100
4,100
12,100
4,100
1,100
0,100
6,100
2,100
6,100
5,100
12,100
2,100
5,100
8,100
0,100
15,100
11,100
0,100
4,100
8,100
0,100
7,100
21,100
2,100
14,100
11,100
3,100
7,100
2,100
10,100
2,100
7,100
0,100
0,100
3,100
7,100
6,100
8,100
5,100
3,100
4,100
7,100
10,100
6,100
3,100
8,100
3,100
11,100
5,100
15,100
4,100
5,100
8,100
1,100
4,100
6,100
8,100
6,100
17,100
10,100
7,100
55,1000
65,1000
45,1000
46,1000
25,1000
54,1000
53,1000
24,1000
48,1000
67,1000
43,1000
57,1000
57,1000
27,1000
18,1000
50,1000
40,1000
69,1000
40,1000
38,1000
70,1000
34,1000
38,1000
76,1000
62,1000
36,1000
51,1000
43,1000
45,1000
62,1000
44,1000
40,1000
53,1000
50,1000
49,1000
68,1000
78,1000
45,1000
35,1000
47,1000
76,1000
29,1000
56,1000
48,1000
53,1000
68,1000
52,1000
44,1000
48,1000
59,1000
47,1000
39,1000
45,1000
62,1000
65,1000
36,1000
40,1000
59,1000
45,1000
46,1000
48,1000
52,1000
67,1000
44,1000
57,1000
38,1000
72,1000
53,1000
68,1000
39,1000
34,1000
59,1000
29,1000
55,1000
55,1000
95,1000
55,1000
58,1000
55,1000
21,1000
52,1000
46,1000
47,1000
57,1000
37,1000
25,1000
34,1000
44,1000
48,1000
60,1000
38,1000
37,1000
67,1000
44,1000
44,1000
27,1000
72,1000
27,1000
46,1000
54,1000
480,10000
479,10000
405,10000
476,10000
476,10000
433,10000
483,10000
432,10000
568,10000
470,10000
471,10000
486,10000
429,10000
537,10000
433,10000
394,10000
459,10000
437,10000
398,10000
561,10000
486,10000
379,10000
399,10000
398,10000
460,10000
467,10000
397,10000
566,10000
543,10000
496,10000
459,10000
466,10000
566,10000
510,10000
548,10000
523,10000
480,10000
496,10000
434,10000
418,10000
459,10000
554,10000
505,10000
506,10000
452,10000
452,10000
497,10000
544,10000
525,10000
484,10000
479,10000
437,10000
447,10000
494,10000
436,10000
469,10000
527,10000
494,10000
473,10000
504,10000
523,10000
554,10000
538,10000
470,10000
434,10000
419,10000
452,10000
568,10000
505,10000
489,10000
425,10000
565,10000
602,10000
489,10000
444,10000
374,10000
437,10000
480,10000
361,10000
463,10000
457,10000
498,10000
544,10000
517,10000
370,10000
508,10000
517,10000
505,10000
449,10000
471,10000
533,10000
450,10000
398,10000
499,10000
425,10000
519,10000
394,10000
551,10000
414,10000
350,10000
1,10
3,10
1,10
1,10
1,10
0,10
0,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
0,10
1,10
0,10
1,10
0,10
2,10
2,10
0,10
0,10
3,10
4,10
1,10
0,10
0,10
2,10
0,10
0,10
2,10
0,10
1,10
0,10
1,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
0,10
0,10
0,10
2,10
3,10
0,10
0,10
1,10
2,10
2,10
0,10
1,10
1,10
2,10
0,10
2,10
0,10
0,10
3,10
0,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
2,10
1,10
0,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
0,10
0,10
3,10
5,10
0,10
0,10
3,100
7,100
7,100
10,100
8,100
2,100
8,100
5,100
1,100
10,100
7,100
14,100
8,100
6,100
0,100
4,100
0,100
11,100
1,100
6,100
5,100
6,100
5,100
3,100
19,100
1,100
5,100
4,100
9,100
5,100
4,100
2,100
5,100
0,100
21,100
10,100
8,100
6,100
3,100
13,100
4,100
12,100
4,100
1,100
0,100
6,100
2,100
6,100
5,100
12,100
2,100
5,100
8,100
0,100
15,100
11,100
0,100
4,100
8,100
0,100
7,100
21,100
2,100
14,100
11,100
3,100
7,100
2,100
10,100
2,100
7,100
0,100
0,100
3,100
7,100
6,100
8,100
5,100
3,100
4,100
7,100
10,100
6,100
3,100
8,100
3,100
11,100
5,100
15,100
4,100
5,100
8,100
1,100
4,100
6,100
8,100
6,100
17,100
10,100
7,100
55,1000
65,1000
45,1000
46,1000
25,1000
54,1000
53,1000
24,1000
48,1000
67,1000
43,1000
57,1000
57,1000
27,1000
18,1000
50,1000
40,1000
69,1000
40,1000
38,1000
70,1000
34,1000
38,1000
76,1000
62,1000
36,1000
51,1000
43,1000
45,1000
62,1000
44,1000
40,1000
53,1000
50,1000
49,1000
68,1000
78,1000
45,1000
35,1000
47,1000
76,1000
29,1000
56,1000
48,1000
53,1000
68,1000
52,1000
44,1000
48,1000
59,1000
47,1000
39,1000
45,1000
62,1000
65,1000
36,1000
40,1000
59,1000
45,1000
46,1000
48,1000
52,1000
67,1000
44,1000
57,1000
38,1000
72,1000
53,1000
68,1000
39,1000
34,1000
59,1000
29,1000
55,1000
55,1000
95,1000
55,1000
58,1000
55,1000
21,1000
52,1000
46,1000
47,1000
57,1000
37,1000
25,1000
34,1000
44,1000
48,1000
60,1000
38,1000
37,1000
67,1000
44,1000
44,1000
27,1000
72,1000
27,1000
46,1000
54,1000
480,10000
479,10000
405,10000
476,10000
476,10000
433,10000
483,10000
432,10000
568,10000
470,10000
471,10000
486,10000
429,10000
537,10000
433,10000
394,10000
459,10000
437,10000
398,10000
561,10000
486,10000
379,10000
399,10000
398,10000
460,10000
467,10000
397,10000
566,10000
543,10000
496,10000
459,10000
466,10000
566,10000
510,10000
548,10000
523,10000
480,10000
496,10000
434,10000
418,10000
459,10000
554,10000
505,10000
506,10000
452,10000
452,10000
497,10000
544,10000
525,10000
484,10000
479,10000
437,10000
447,10000
494,10000
436,10000
469,10000
527,10000
494,10000
473,10000
504,10000
523,10000
554,10000
538,10000
470,10000
434,10000
419,10000
452,10000
568,10000
505,10000
489,10000
425,10000
565,10000
602,10000
489,10000
444,10000
374,10000
437,10000
480,10000
361,10000
463,10000
457,10000
498,10000
544,10000
517,10000
370,10000
508,10000
517,10000
505,10000
449,10000
471,10000
533,10000
450,10000
398,10000
499,10000
425,10000
519,10000
394,10000
551,10000
414,10000
350,10000
1,10
3,10
1,10
1,10
1,10
0,10
0,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
0,10
1,10
0,10
1,10
0,10
2,10
2,10
0,10
0,10
3,10
4,10
1,10
0,10
0,10
2,10
0,10
0,10
2,10
0,10
1,10
0,10
1,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
0,10
0,10
0,10
2,10
3,10
0,10
0,10
1,10
2,10
2,10
0,10
1,10
1,10
2,10
0,10
2,10
0,10
0,10
3,10
0,10
0,10
0,10
1,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
2,10
1,10
0,10
2,10
0,10
0,10
0,10
1,10
1,10
0,10
0,10
0,10
3,10
5,10
0,10
0,10
3,100
7,100
7,100
10,100
8,100
2,100
8,100
5,100
1,100
10,100
7,100
14,100
8,100
6,100
0,100
4,100
0,100
11,100
1,100
6,100
5,100
6,100
5,100
3,100
19,100
1,100
5,100
4,100
9,100
5,100
4,100
2,100
5,100
0,100
21,100
10,100
8,100
6,100
3,100
13,100
4,100
12,100
4,100
1,100
0,100
6,100
2,100
6,100
5,100
12,100
2,100
5,100
8,100
0,100
15,100
11,100
0,100
4,100
8,100
0,100
7,100
21,100
2,100
14,100
11,100
3,100
7,100
2,100
10,100
2,100
7,100
0,100
0,100
3,100
7,100
6,100
8,100
5,100
3,100
4,100
7,100
10,100
6,100
3,100
8,100
3,100
11,100
5,100
15,100
4,100
5,100
8,100
1,100
4,100
6,100
8,100
6,100
17,100
10,100
7,100
55,1000
65,1000
45,1000
46,1000
25,1000
54,1000
53,1000
24,1000
48,1000
67,1000
43,1000
57,1000
57,1000
27,1000
18,1000
50,1000
40,1000
69,1000
40,1000
38,1000
70,1000
34,1000
38,1000
76,1000
62,1000
36,1000
51,1000
43,1000
45,1000
62,1000
44,1000
40,1000
53,1000
50,1000
49,1000
68,1000
78,1000
45,1000
35,1000
47,1000
76,1000
29,1000
56,1000
48,1000
53,1000
68,1000
52,1000
44,1000
48,1000
59,1000
47,1000
39,1000
45,1000
62,1000
65,1000
36,1000
40,1000
59,1000
45,1000
46,1000
48,1000
52,1000
67,1000
44,1000
57,1000
38,1000
72,1000
53,1000
68,1000
39,1000
34,1000
59,1000
29,1000
55,1000
55,1000
95,1000
55,1000
58,1000
55,1000
21,1000
52,1000
46,1000
47,1000
57,1000
37,1000
25,1000
34,1000
44,1000
48,1000
60,1000
38,1000
37,1000
67,1000
44,1000
44,1000
27,1000
72,1000
27,1000
46,1000
54,1000
480,10000
479,10000
405,10000
476,10000
476,10000
433,10000
483,10000
432,10000
568,10000
470,10000
471,10000
486,10000
429,10000
537,10000
433,10000
394,10000
459,10000
437,10000
398,10000
561,10000
486,10000
379,10000
399,10000
398,10000
460,10000
467,10000
397,10000
566,10000
543,10000
496,10000
459,10000
466,10000
566,10000
510,10000
548,10000
523,10000
480,10000
496,10000
434,10000
418,10000
459,10000
554,10000
505,10000
506,10000
452,10000
452,10000
497,10000
544,10000
525,10000
484,10000
479,10000
437,10000
447,10000
494,10000
436,10000
469,10000
527,10000
494,10000
473,10000
504,10000
523,10000
554,10000
538,10000
470,10000
434,10000
419,10000
452,10000
568,10000
505,10000
489,10000
425,10000
565,10000
602,10000
489,10000
444,10000
374,10000
437,10000
480,10000
361,10000
463,10000
457,10000
498,10000
544,10000
517,10000
370,10000
508,10000
517,10000
505,10000
449,10000
471,10000
533,10000
450,10000
398,10000
499,10000
425,10000
519,10000
394,10000
551,10000
414,10000
350,10000
