"k_hat","m"
44,10000
31,10000
50,10000
38,10000
38,10000
40,10000
38,10000
41,10000
33,10000
48,10000
41,10000
48,10000
65,10000
45,10000
30,10000
48,10000
38,10000
41,10000
47,10000
36,10000
50,10000
31,10000
39,10000
39,10000
24,10000
48,10000
34,10000
45,10000
45,10000
38,10000
38,10000
37,10000
33,10000
46,10000
38,10000
22,10000
38,10000
39,10000
54,10000
33,10000
38,10000
42,10000
31,10000
32,10000
43,10000
37,10000
45,10000
36,10000
26,10000
41,10000
41,10000
42,10000
51,10000
37,10000
37,10000
41,10000
37,10000
35,10000
46,10000
0,10
0,10
3,10
2,10
1,10
2,10
4,10
3,10
2,10
2,10
1,10
2,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
3,10
4,10
0,10
0,10
2,10
2,10
3,10
0,10
2,10
1,10
1,10
2,10
5,10
2,10
4,10
2,10
1,10
3,10
1,10
4,10
1,10
1,10
2,10
2,10
3,10
2,10
0,10
2,10
2,10
2,10
2,10
6,10
1,10
0,10
6,10
4,10
1,10
0,10
2,10
1,10
4,10
1,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
1,10
1,10
3,10
5,10
0,10
1,10
1,10
3,10
4,10
3,10
3,10
0,10
3,10
1,10
1,10
0,10
0,10
1,10
1,10
2,10
1,10
0,10
2,10
3,10
2,10
3,10
3,10
6,100
5,100
10,100
2,100
2,100
3,100
9,100
11,100
2,100
7,100
8,100
3,100
10,100
7,100
3,100
9,100
4,100
3,100
7,100
9,100
5,100
4,100
4,100
2,100
3,100
8,100
6,100
6,100
7,100
2,100
11,100
8,100
9,100
0,100
4,100
4,100
6,100
2,100
9,100
9,100
11,100
2,100
3,100
7,100
1,100
4,100
5,100
3,100
0,100
5,100
8,100
4,100
5,100
7,100
4,100
5,100
6,100
5,100
5,100
1,100
2,100
5,100
6,100
3,100
5,100
3,100
5,100
6,100
4,100
8,100
7,100
6,100
3,100
8,100
4,100
7,100
6,100
6,100
6,100
3,100
9,100
9,100
6,100
11,100
3,100
6,100
4,100
5,100
2,100
7,100
5,100
5,100
9,100
5,100
7,100
12,100
4,100
4,100
9,100
3,100
24,1000
15,1000
16,1000
7,1000
16,1000
13,1000
22,1000
8,1000
15,1000
18,1000
10,1000
6,1000
7,1000
12,1000
4,1000
20,1000
23,1000
19,1000
16,1000
15,1000
26,1000
10,1000
14,1000
15,1000
18,1000
15,1000
8,1000
28,1000
12,1000
13,1000
19,1000
10,1000
8,1000
12,1000
16,1000
12,1000
7,1000
8,1000
20,1000
11,1000
10,1000
10,1000
19,1000
16,1000
11,1000
13,1000
12,1000
21,1000
11,1000
12,1000
22,1000
12,1000
7,1000
17,1000
13,1000
12,1000
12,1000
11,1000
11,1000
20,1000
12,1000
11,1000
12,1000
8,1000
17,1000
17,1000
15,1000
29,1000
14,1000
5,1000
10,1000
12,1000
12,1000
17,1000
21,1000
13,1000
16,1000
16,1000
15,1000
6,1000
13,1000
14,1000
16,1000
15,1000
16,1000
19,1000
7,1000
21,1000
11,1000
18,1000
30,1000
18,1000
22,1000
16,1000
24,1000
16,1000
11,1000
19,1000
17,1000
22,1000
41,10000
42,10000
43,10000
53,10000
57,10000
38,10000
37,10000
32,10000
38,10000
37,10000
40,10000
38,10000
41,10000
48,10000
34,10000
34,10000
42,10000
51,10000
45,10000
41,10000
48,10000
38,10000
37,10000
38,10000
44,10000
37,10000
37,10000
40,10000
45,10000
47,10000
32,10000
42,10000
39,10000
56,10000
52,10000
36,10000
39,10000
54,10000
43,10000
43,10000
38,10000
44,10000
31,10000
50,10000
38,10000
38,10000
40,10000
38,10000
41,10000
33,10000
48,10000
41,10000
48,10000
65,10000
45,10000
30,10000
48,10000
38,10000
41,10000
47,10000
36,10000
50,10000
31,10000
39,10000
39,10000
24,10000
48,10000
34,10000
45,10000
45,10000
38,10000
38,10000
37,10000
33,10000
46,10000
38,10000
22,10000
38,10000
39,10000
54,10000
33,10000
38,10000
42,10000
31,10000
32,10000
43,10000
37,10000
45,10000
36,10000
26,10000
41,10000
41,10000
42,10000
51,10000
37,10000
37,10000
41,10000
37,10000
35,10000
46,10000
0,10
0,10
3,10
2,10
1,10
2,10
4,10
3,10
2,10
2,10
1,10
2,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
3,10
4,10
0,10
0,10
2,10
2,10
3,10
0,10
2,10
1,10
1,10
2,10
5,10
2,10
4,10
2,10
1,10
3,10
1,10
4,10
1,10
1,10
2,10
2,10
3,10
2,10
0,10
2,10
2,10
2,10
2,10
6,10
1,10
0,10
6,10
4,10
1,10
0,10
2,10
1,10
4,10
1,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
1,10
1,10
3,10
5,10
0,10
1,10
1,10
3,10
4,10
3,10
3,10
0,10
3,10
1,10
1,10
0,10
0,10
1,10
1,10
2,10
1,10
0,10
2,10
3,10
2,10
3,10
3,10
6,100
5,100
10,100
2,100
2,100
3,100
9,100
11,100
2,100
7,100
8,100
3,100
10,100
7,100
3,100
9,100
4,100
3,100
7,100
9,100
5,100
4,100
4,100
2,100
3,100
8,100
6,100
6,100
7,100
2,100
11,100
8,100
9,100
0,100
4,100
4,100
6,100
2,100
9,100
9,100
11,100
2,100
3,100
7,100
1,100
4,100
5,100
3,100
0,100
5,100
8,100
4,100
5,100
7,100
4,100
5,100
6,100
5,100
5,100
1,100
2,100
5,100
6,100
3,100
5,100
3,100
5,100
6,100
4,100
8,100
7,100
6,100
3,100
8,100
4,100
7,100
6,100
6,100
6,100
3,100
9,100
9,100
6,100
11,100
3,100
6,100
4,100
5,100
2,100
7,100
5,100
5,100
9,100
5,100
7,100
12,100
4,100
4,100
9,100
3,100
24,1000
15,1000
16,1000
7,1000
16,1000
13,1000
22,1000
8,1000
15,1000
18,1000
10,1000
6,1000
7,1000
12,1000
4,1000
20,1000
23,1000
19,1000
16,1000
15,1000
26,1000
10,1000
14,1000
15,1000
18,1000
15,1000
8,1000
28,1000
12,1000
13,1000
19,1000
10,1000
8,1000
12,1000
16,1000
12,1000
7,1000
8,1000
20,1000
11,1000
10,1000
10,1000
19,1000
16,1000
11,1000
13,1000
12,1000
21,1000
11,1000
12,1000
22,1000
12,1000
7,1000
17,1000
13,1000
12,1000
12,1000
11,1000
11,1000
20,1000
12,1000
11,1000
12,1000
8,1000
17,1000
17,1000
15,1000
29,1000
14,1000
5,1000
10,1000
12,1000
12,1000
17,1000
21,1000
13,1000
16,1000
16,1000
15,1000
6,1000
13,1000
14,1000
16,1000
15,1000
16,1000
19,1000
7,1000
21,1000
11,1000
18,1000
30,1000
18,1000
22,1000
16,1000
24,1000
16,1000
11,1000
19,1000
17,1000
22,1000
41,10000
42,10000
43,10000
53,10000
57,10000
38,10000
37,10000
32,10000
38,10000
37,10000
40,10000
38,10000
41,10000
48,10000
34,10000
34,10000
42,10000
51,10000
45,10000
41,10000
48,10000
38,10000
37,10000
38,10000
44,10000
37,10000
37,10000
40,10000
45,10000
47,10000
32,10000
42,10000
39,10000
56,10000
52,10000
36,10000
39,10000
54,10000
43,10000
43,10000
38,10000
44,10000
31,10000
50,10000
38,10000
38,10000
40,10000
38,10000
41,10000
33,10000
48,10000
41,10000
48,10000
65,10000
45,10000
30,10000
48,10000
38,10000
41,10000
47,10000
36,10000
50,10000
31,10000
39,10000
39,10000
24,10000
48,10000
34,10000
45,10000
45,10000
38,10000
38,10000
37,10000
33,10000
46,10000
38,10000
22,10000
38,10000
39,10000
54,10000
33,10000
38,10000
42,10000
31,10000
32,10000
43,10000
37,10000
45,10000
36,10000
26,10000
41,10000
41,10000
42,10000
51,10000
37,10000
37,10000
41,10000
37,10000
35,10000
46,10000
0,10
0,10
3,10
2,10
1,10
2,10
4,10
3,10
2,10
2,10
1,10
2,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
3,10
4,10
0,10
0,10
2,10
2,10
3,10
0,10
2,10
1,10
1,10
2,10
5,10
2,10
4,10
2,10
1,10
3,10
1,10
4,10
1,10
1,10
2,10
2,10
3,10
2,10
0,10
2,10
2,10
2,10
2,10
6,10
1,10
0,10
6,10
4,10
1,10
0,10
2,10
1,10
4,10
1,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
1,10
1,10
3,10
5,10
0,10
1,10
1,10
3,10
4,10
3,10
3,10
0,10
3,10
1,10
1,10
0,10
0,10
1,10
1,10
2,10
1,10
0,10
2,10
3,10
2,10
3,10
3,10
6,100
5,100
10,100
2,100
2,100
3,100
9,100
11,100
2,100
7,100
8,100
3,100
10,100
7,100
3,100
9,100
4,100
3,100
7,100
9,100
5,100
4,100
4,100
2,100
3,100
8,100
6,100
6,100
7,100
2,100
11,100
8,100
9,100
0,100
4,100
4,100
6,100
2,100
9,100
9,100
11,100
2,100
3,100
7,100
1,100
4,100
5,100
3,100
0,100
5,100
8,100
4,100
5,100
7,100
4,100
5,100
6,100
5,100
5,100
1,100
2,100
5,100
6,100
3,100
5,100
3,100
5,100
6,100
4,100
8,100
7,100
6,100
3,100
8,100
4,100
7,100
6,100
6,100
6,100
3,100
9,100
9,100
6,100
11,100
3,100
6,100
4,100
5,100
2,100
7,100
5,100
5,100
9,100
5,100
7,100
12,100
4,100
4,100
9,100
3,100
24,1000
15,1000
16,1000
7,1000
16,1000
13,1000
22,1000
8,1000
15,1000
18,1000
10,1000
6,1000
7,1000
12,1000
4,1000
20,1000
23,1000
19,1000
16,1000
15,1000
26,1000
10,1000
14,1000
15,1000
18,1000
15,1000
8,1000
28,1000
12,1000
13,1000
19,1000
10,1000
8,1000
12,1000
16,1000
12,1000
7,1000
8,1000
20,1000
11,1000
10,1000
10,1000
19,1000
16,1000
11,1000
13,1000
12,1000
21,1000
11,1000
12,1000
22,1000
12,1000
7,1000
17,1000
13,1000
12,1000
12,1000
11,1000
11,1000
20,1000
12,1000
11,1000
12,1000
8,1000
17,1000
17,1000
15,1000
29,1000
14,1000
5,1000
10,1000
12,1000
12,1000
17,1000
21,1000
13,1000
16,1000
16,1000
15,1000
6,1000
13,1000
14,1000
16,1000
15,1000
16,1000
19,1000
7,1000
21,1000
11,1000
18,1000
30,1000
18,1000
22,1000
16,1000
24,1000
16,1000
11,1000
19,1000
17,1000
22,1000
41,10000
42,10000
43,10000
53,10000
57,10000
38,10000
37,10000
32,10000
38,10000
37,10000
40,10000
38,10000
41,10000
48,10000
34,10000
34,10000
42,10000
51,10000
45,10000
41,10000
48,10000
38,10000
37,10000
38,10000
44,10000
37,10000
37,10000
40,10000
45,10000
47,10000
32,10000
42,10000
39,10000
56,10000
52,10000
36,10000
39,10000
54,10000
43,10000
43,10000
38,10000
44,10000
31,10000
50,10000
38,10000
38,10000
40,10000
38,10000
41,10000
33,10000
48,10000
41,10000
48,10000
65,10000
45,10000
30,10000
48,10000
38,10000
41,10000
47,10000
36,10000
50,10000
31,10000
39,10000
39,10000
24,10000
48,10000
34,10000
45,10000
45,10000
38,10000
38,10000
37,10000
33,10000
46,10000
38,10000
22,10000
38,10000
39,10000
54,10000
33,10000
38,10000
42,10000
31,10000
32,10000
43,10000
37,10000
45,10000
36,10000
26,10000
41,10000
41,10000
42,10000
51,10000
37,10000
37,10000
41,10000
37,10000
35,10000
46,10000
0,10
0,10
3,10
2,10
1,10
2,10
4,10
3,10
2,10
2,10
1,10
2,10
1,10
2,10
1,10
0,10
0,10
1,10
0,10
4,10
0,10
3,10
3,10
4,10
0,10
0,10
2,10
2,10
3,10
0,10
2,10
1,10
1,10
2,10
5,10
2,10
4,10
2,10
1,10
3,10
1,10
4,10
1,10
1,10
2,10
2,10
3,10
2,10
0,10
2,10
2,10
2,10
2,10
6,10
1,10
0,10
6,10
4,10
1,10
0,10
2,10
1,10
4,10
1,10
0,10
1,10
0,10
1,10
1,10
0,10
1,10
1,10
3,10
1,10
1,10
3,10
5,10
0,10
1,10
1,10
3,10
4,10
3,10
3,10
0,10
3,10
1,10
1,10
0,10
0,10
1,10
1,10
2,10
1,10
0,10
2,10
3,10
2,10
3,10
3,10
6,100
5,100
10,100
2,100
2,100
3,100
9,100
11,100
2,100
7,100
8,100
3,100
10,100
7,100
3,100
9,100
4,100
3,100
7,100
9,100
5,100
4,100
4,100
2,100
3,100
8,100
6,100
6,100
7,100
2,100
11,100
8,100
9,100
0,100
4,100
4,100
6,100
2,100
9,100
9,100
11,100
2,100
3,100
7,100
1,100
4,100
5,100
3,100
0,100
5,100
8,100
4,100
5,100
7,100
4,100
5,100
6,100
5,100
5,100
1,100
2,100
5,100
6,100
3,100
5,100
3,100
5,100
6,100
4,100
8,100
7,100
6,100
3,100
8,100
4,100
7,100
6,100
6,100
6,100
3,100
9,100
9,100
6,100
11,100
3,100
6,100
4,100
5,100
2,100
7,100
5,100
5,100
9,100
5,100
7,100
12,100
4,100
4,100
9,100
3,100
24,1000
15,1000
16,1000
7,1000
16,1000
13,1000
22,1000
8,1000
15,1000
18,1000
10,1000
6,1000
7,1000
12,1000
4,1000
20,1000
23,1000
19,1000
16,1000
15,1000
26,1000
10,1000
14,1000
15,1000
18,1000
15,1000
8,1000
28,1000
12,1000
13,1000
19,1000
10,1000
8,1000
12,1000
16,1000
12,1000
7,1000
8,1000
20,1000
11,1000
10,1000
10,1000
19,1000
16,1000
11,1000
13,1000
12,1000
21,1000
11,1000
12,1000
22,1000
12,1000
7,1000
17,1000
13,1000
12,1000
12,1000
11,1000
11,1000
20,1000
12,1000
11,1000
12,1000
8,1000
17,1000
17,1000
15,1000
29,1000
14,1000
5,1000
10,1000
12,1000
12,1000
17,1000
21,1000
13,1000
16,1000
16,1000
15,1000
6,1000
13,1000
14,1000
16,1000
15,1000
16,1000
19,1000
7,1000
21,1000
11,1000
18,1000
30,1000
18,1000
22,1000
16,1000
24,1000
16,1000
11,1000
19,1000
17,1000
22,1000
41,10000
42,10000
43,10000
53,10000
57,10000
38,10000
37,10000
32,10000
38,10000
37,10000
40,10000
38,10000
41,10000
48,10000
34,10000
34,10000
42,10000
51,10000
45,10000
41,10000
48,10000
38,10000
37,10000
38,10000
44,10000
37,10000
37,10000
40,10000
45,10000
47,10000
32,10000
42,10000
39,10000
56,10000
52,10000
36,10000
39,10000
54,10000
43,10000
43,10000
38,10000
44,10000
31,10000
50,10000
38,10000
38,10000
40,10000
38,10000
41,10000
33,10000
48,10000
41,10000
48,10000
65,10000
45,10000
30,10000
48,10000
38,10000
41,10000
47,10000
36,10000
50,10000
31,10000
39,10000
39,10000
24,10000
48,10000
34,10000
45,10000
45,10000
38,10000
38,10000
37,10000
33,10000
46,10000
38,10000
22,10000
38,10000
39,10000
54,10000
33,10000
38,10000
42,10000
31,10000
32,10000
43,10000
37,10000
45,10000
36,10000
26,10000
41,10000
41,10000
42,10000
51,10000
37,10000
37,10000
41,10000
37,10000
35,10000
46,10000
