"k_hat","r_hat","m"
10,0,10
10,1,10
10,1,10
9,1,10
10,3,10
7,1,10
10,2,10
9,0,10
8,0,10
10,0,10
6,1,10
10,1,10
9,0,10
9,0,10
6,0,10
9,1,10
7,0,10
10,3,10
10,1,10
10,1,10
10,1,10
10,1,10
10,1,10
10,0,10
6,0,10
9,1,10
10,3,10
10,1,10
6,1,10
8,0,10
10,0,10
10,2,10
10,2,10
10,1,10
7,0,10
9,1,10
100,9,100
100,18,100
100,8,100
65,4,100
100,12,100
100,11,100
100,10,100
100,9,100
88,6,100
100,8,100
80,5,100
100,10,100
100,9,100
100,10,100
99,6,100
100,10,100
100,8,100
100,12,100
98,7,100
98,7,100
100,7,100
100,8,100
100,10,100
100,11,100
100,10,100
100,10,100
100,8,100
100,7,100
100,11,100
100,8,100
99,5,100
100,12,100
100,13,100
100,7,100
100,13,100
15,1,100
100,12,100
100,7,100
100,11,100
100,12,100
13,0,100
100,13,100
100,9,100
100,8,100
100,8,100
100,8,100
100,17,100
100,10,100
100,12,100
100,11,100
100,12,100
100,13,100
83,5,100
100,9,100
100,12,100
100,14,100
100,9,100
100,8,100
100,10,100
100,10,100
84,7,100
100,13,100
100,12,100
68,4,100
100,13,100
24,1,100
100,8,100
100,8,100
100,8,100
97,7,100
100,8,100
99,5,100
100,6,100
100,14,100
100,9,100
37,3,100
100,9,100
42,2,100
100,7,100
100,14,100
100,8,100
100,9,100
100,16,100
100,12,100
100,10,100
100,10,100
100,12,100
100,10,100
100,9,100
93,6,100
100,8,100
100,11,100
100,9,100
100,11,100
100,12,100
54,4,100
100,9,100
99,7,100
100,9,100
100,10,100
1000,76,1000
1000,77,1000
1000,80,1000
1000,93,1000
1000,86,1000
1000,103,1000
1000,73,1000
1000,84,1000
1000,78,1000
1000,78,1000
1000,83,1000
1000,94,1000
1000,101,1000
1000,81,1000
1000,79,1000
1000,104,1000
1000,97,1000
1000,98,1000
1000,101,1000
1000,73,1000
1000,84,1000
1000,89,1000
1000,81,1000
969,65,1000
1000,107,1000
1000,77,1000
1000,97,1000
1000,80,1000
1000,76,1000
1000,87,1000
1000,93,1000
1000,74,1000
1000,88,1000
1000,79,1000
1000,80,1000
1000,86,1000
1000,92,1000
1000,79,1000
1000,77,1000
1000,86,1000
1000,96,1000
1000,84,1000
1000,76,1000
1000,78,1000
1000,87,1000
1000,89,1000
1000,92,1000
1000,81,1000
1000,73,1000
1000,78,1000
1000,86,1000
1000,81,1000
1000,106,1000
1000,108,1000
1000,90,1000
1000,87,1000
1000,92,1000
1000,95,1000
1000,101,1000
1000,92,1000
1000,85,1000
1000,88,1000
1000,101,1000
1000,82,1000
1000,86,1000
1000,83,1000
1000,84,1000
1000,81,1000
1000,84,1000
1000,88,1000
1000,84,1000
1000,74,1000
1000,86,1000
1000,90,1000
1000,76,1000
1000,86,1000
1000,99,1000
1000,105,1000
1000,88,1000
1000,78,1000
1000,87,1000
1000,88,1000
1000,89,1000
1000,81,1000
1000,80,1000
1000,95,1000
1000,90,1000
1000,69,1000
1000,83,1000
1000,89,1000
1000,96,1000
1000,81,1000
1000,83,1000
1000,69,1000
1000,82,1000
1000,90,1000
1000,87,1000
1000,82,1000
1000,87,1000
1000,100,1000
10000,897,10000
10000,899,10000
10000,891,10000
10000,863,10000
10000,901,10000
10000,867,10000
10000,840,10000
10000,880,10000
10000,896,10000
10000,837,10000
10000,815,10000
10000,926,10000
10000,871,10000
10000,853,10000
10000,849,10000
10000,855,10000
10000,958,10000
10000,882,10000
10000,918,10000
10000,857,10000
10000,867,10000
10000,881,10000
10000,932,10000
10000,919,10000
10000,856,10000
10000,868,10000
10000,885,10000
10000,906,10000
10000,908,10000
10000,854,10000
10000,871,10000
10000,881,10000
10000,895,10000
10000,900,10000
10000,892,10000
10000,880,10000
10000,869,10000
10000,866,10000
10000,896,10000
10000,845,10000
10000,865,10000
10000,866,10000
10000,843,10000
10000,907,10000
10000,865,10000
10000,830,10000
10000,854,10000
10000,889,10000
10000,889,10000
10000,914,10000
10000,857,10000
10000,889,10000
10000,858,10000
10000,848,10000
10000,863,10000
10000,838,10000
10000,871,10000
10000,875,10000
10000,909,10000
10000,833,10000
10000,864,10000
10000,832,10000
10000,837,10000
10000,894,10000
10000,910,10000
10000,866,10000
10000,855,10000
10000,837,10000
10000,895,10000
10000,862,10000
10000,888,10000
10000,856,10000
10000,820,10000
10000,855,10000
10000,920,10000
10000,920,10000
10000,864,10000
10000,938,10000
10000,875,10000
10000,859,10000
10000,870,10000
10000,826,10000
10000,926,10000
10000,873,10000
10000,916,10000
10000,928,10000
10000,865,10000
10000,830,10000
10000,850,10000
10000,843,10000
10000,902,10000
10000,910,10000
10000,869,10000
10000,854,10000
10000,862,10000
10000,923,10000
10000,869,10000
10000,835,10000
10000,904,10000
10000,835,10000
8,1,10
5,0,10
10,1,10
10,2,10
9,0,10
10,2,10
7,1,10
9,1,10
8,0,10
5,1,10
10,1,10
10,0,10
10,2,10
10,0,10
8,0,10
10,0,10
5,0,10
10,0,10
10,1,10
10,1,10
10,0,10
10,0,10
10,0,10
6,1,10
8,0,10
7,0,10
10,2,10
10,0,10
10,1,10
10,2,10
9,1,10
7,0,10
10,1,10
10,1,10
10,1,10
7,1,10
10,0,10
10,1,10
10,1,10
10,0,10
10,2,10
10,0,10
10,2,10
8,1,10
10,3,10
10,0,10
10,0,10
5,0,10
8,0,10
10,1,10
8,1,10
10,1,10
10,2,10
10,1,10
10,2,10
10,1,10
10,0,10
10,5,10
10,2,10
10,1,10
9,1,10
8,0,10
10,1,10
10,2,10
10,0,10
10,1,10
10,1,10
9,1,10
10,3,10
7,1,10
10,2,10
9,0,10
8,0,10
10,0,10
6,1,10
10,1,10
9,0,10
9,0,10
6,0,10
9,1,10
7,0,10
10,3,10
10,1,10
10,1,10
10,1,10
10,1,10
10,1,10
10,0,10
6,0,10
9,1,10
10,3,10
10,1,10
6,1,10
8,0,10
10,0,10
10,2,10
10,2,10
10,1,10
7,0,10
9,1,10
100,9,100
100,18,100
100,8,100
65,4,100
100,12,100
100,11,100
100,10,100
100,9,100
88,6,100
100,8,100
80,5,100
100,10,100
100,9,100
100,10,100
99,6,100
100,10,100
100,8,100
100,12,100
98,7,100
98,7,100
100,7,100
100,8,100
100,10,100
100,11,100
100,10,100
100,10,100
100,8,100
100,7,100
100,11,100
100,8,100
99,5,100
100,12,100
100,13,100
100,7,100
100,13,100
15,1,100
100,12,100
100,7,100
100,11,100
100,12,100
13,0,100
100,13,100
100,9,100
100,8,100
100,8,100
100,8,100
100,17,100
100,10,100
100,12,100
100,11,100
100,12,100
100,13,100
83,5,100
100,9,100
100,12,100
100,14,100
100,9,100
100,8,100
100,10,100
100,10,100
84,7,100
100,13,100
100,12,100
68,4,100
100,13,100
24,1,100
100,8,100
100,8,100
100,8,100
97,7,100
100,8,100
99,5,100
100,6,100
100,14,100
100,9,100
37,3,100
100,9,100
42,2,100
100,7,100
100,14,100
100,8,100
100,9,100
100,16,100
100,12,100
100,10,100
100,10,100
100,12,100
100,10,100
100,9,100
93,6,100
100,8,100
100,11,100
100,9,100
100,11,100
100,12,100
54,4,100
100,9,100
99,7,100
100,9,100
100,10,100
1000,76,1000
1000,77,1000
1000,80,1000
1000,93,1000
1000,86,1000
1000,103,1000
1000,73,1000
1000,84,1000
1000,78,1000
1000,78,1000
1000,83,1000
1000,94,1000
1000,101,1000
1000,81,1000
1000,79,1000
1000,104,1000
1000,97,1000
1000,98,1000
1000,101,1000
1000,73,1000
1000,84,1000
1000,89,1000
1000,81,1000
969,65,1000
1000,107,1000
1000,77,1000
1000,97,1000
1000,80,1000
1000,76,1000
1000,87,1000
1000,93,1000
1000,74,1000
1000,88,1000
1000,79,1000
1000,80,1000
1000,86,1000
1000,92,1000
1000,79,1000
1000,77,1000
1000,86,1000
1000,96,1000
1000,84,1000
1000,76,1000
1000,78,1000
1000,87,1000
1000,89,1000
1000,92,1000
1000,81,1000
1000,73,1000
1000,78,1000
1000,86,1000
1000,81,1000
1000,106,1000
1000,108,1000
1000,90,1000
1000,87,1000
1000,92,1000
1000,95,1000
1000,101,1000
1000,92,1000
1000,85,1000
1000,88,1000
1000,101,1000
1000,82,1000
1000,86,1000
1000,83,1000
1000,84,1000
1000,81,1000
1000,84,1000
1000,88,1000
1000,84,1000
1000,74,1000
1000,86,1000
1000,90,1000
1000,76,1000
1000,86,1000
1000,99,1000
1000,105,1000
1000,88,1000
1000,78,1000
1000,87,1000
1000,88,1000
1000,89,1000
1000,81,1000
1000,80,1000
1000,95,1000
1000,90,1000
1000,69,1000
1000,83,1000
1000,89,1000
1000,96,1000
1000,81,1000
1000,83,1000
1000,69,1000
1000,82,1000
1000,90,1000
1000,87,1000
1000,82,1000
1000,87,1000
1000,100,1000
10000,897,10000
10000,899,10000
10000,891,10000
10000,863,10000
10000,901,10000
10000,867,10000
10000,840,10000
10000,880,10000
10000,896,10000
10000,837,10000
10000,815,10000
10000,926,10000
10000,871,10000
10000,853,10000
10000,849,10000
10000,855,10000
10000,958,10000
10000,882,10000
10000,918,10000
10000,857,10000
10000,867,10000
10000,881,10000
10000,932,10000
10000,919,10000
10000,856,10000
10000,868,10000
10000,885,10000
10000,906,10000
10000,908,10000
10000,854,10000
10000,871,10000
10000,881,10000
10000,895,10000
10000,900,10000
10000,892,10000
10000,880,10000
10000,869,10000
10000,866,10000
10000,896,10000
10000,845,10000
10000,865,10000
10000,866,10000
10000,843,10000
10000,907,10000
10000,865,10000
10000,830,10000
10000,854,10000
10000,889,10000
10000,889,10000
10000,914,10000
10000,857,10000
10000,889,10000
10000,858,10000
10000,848,10000
10000,863,10000
10000,838,10000
10000,871,10000
10000,875,10000
10000,909,10000
10000,833,10000
10000,864,10000
10000,832,10000
10000,837,10000
10000,894,10000
10000,910,10000
10000,866,10000
10000,855,10000
10000,837,10000
10000,895,10000
10000,862,10000
10000,888,10000
10000,856,10000
10000,820,10000
10000,855,10000
10000,920,10000
10000,920,10000
10000,864,10000
10000,938,10000
10000,875,10000
10000,859,10000
10000,870,10000
10000,826,10000
10000,926,10000
10000,873,10000
10000,916,10000
10000,928,10000
10000,865,10000
10000,830,10000
10000,850,10000
10000,843,10000
10000,902,10000
10000,910,10000
10000,869,10000
10000,854,10000
10000,862,10000
10000,923,10000
10000,869,10000
10000,835,10000
10000,904,10000
10000,835,10000
