"bound","FDP_bar","m"
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",0.812308656224096,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
