"k_hat","r_hat","m"
10,2,10
10,1,10
7,0,10
10,0,10
10,3,10
10,0,10
8,1,10
10,1,10
10,2,10
10,1,10
10,2,10
10,0,10
10,2,10
8,1,10
10,0,10
9,0,10
10,2,10
10,1,10
10,1,10
10,2,10
7,1,10
10,2,10
10,1,10
10,0,10
10,0,10
10,4,10
10,2,10
10,2,10
10,2,10
10,0,10
10,3,10
10,0,10
10,1,10
10,0,10
10,1,10
10,1,10
10,1,10
10,2,10
10,3,10
10,2,10
10,2,10
9,0,10
10,1,10
10,1,10
10,2,10
10,2,10
10,2,10
7,1,10
10,2,10
9,0,10
10,1,10
10,0,10
10,1,10
10,0,10
10,1,10
10,0,10
10,3,10
9,1,10
10,1,10
10,0,10
10,1,10
10,1,10
6,0,10
10,1,10
10,2,10
9,0,10
10,1,10
10,1,10
9,0,10
10,3,10
10,0,10
10,0,10
10,2,10
9,0,10
10,1,10
10,0,10
10,2,10
10,0,10
10,0,10
10,3,10
10,1,10
9,0,10
10,2,10
10,0,10
10,0,10
10,2,10
10,1,10
10,0,10
10,2,10
10,0,10
10,0,10
10,2,10
10,1,10
10,1,10
10,2,10
10,0,10
10,0,10
10,0,10
10,1,10
10,2,10
10,0,10
10,0,10
10,0,10
9,1,10
10,0,10
7,0,10
10,1,10
10,2,10
10,0,10
10,0,10
9,0,10
10,2,10
8,1,10
10,2,10
6,1,10
10,2,10
10,2,10
10,1,10
10,2,10
6,0,10
10,1,10
10,1,10
10,0,10
10,1,10
10,3,10
7,0,10
10,2,10
7,1,10
9,0,10
10,1,10
7,0,10
10,1,10
10,1,10
10,1,10
10,2,10
10,0,10
7,0,10
10,2,10
10,1,10
10,0,10
8,1,10
10,1,10
10,1,10
10,2,10
8,1,10
10,1,10
9,0,10
10,0,10
8,1,10
10,0,10
10,0,10
8,1,10
7,1,10
9,0,10
10,1,10
10,1,10
10,1,10
10,1,10
9,1,10
10,1,10
10,1,10
10,0,10
10,2,10
8,0,10
10,1,10
10,1,10
10,3,10
10,0,10
10,1,10
10,1,10
10,3,10
8,0,10
10,1,10
10,2,10
10,0,10
7,1,10
10,2,10
10,1,10
10,2,10
10,1,10
10,1,10
10,1,10
10,1,10
10,1,10
10,2,10
10,1,10
10,1,10
10,2,10
10,1,10
10,1,10
10,0,10
10,3,10
10,0,10
10,2,10
10,0,10
10,2,10
10,0,10
9,1,10
10,2,10
10,1,10
10,2,10
7,0,10
10,0,10
10,1,10
10,0,10
6,0,10
10,0,10
10,4,10
10,1,10
10,0,10
7,1,10
10,2,10
9,0,10
10,2,10
10,0,10
10,1,10
7,0,10
10,1,10
10,1,10
9,0,10
10,1,10
10,1,10
10,0,10
8,1,10
10,2,10
10,2,10
10,1,10
10,2,10
10,1,10
7,0,10
5,0,10
10,3,10
10,1,10
7,1,10
10,1,10
10,1,10
10,1,10
9,0,10
6,0,10
10,0,10
10,0,10
10,2,10
10,2,10
10,0,10
10,0,10
10,1,10
10,0,10
10,0,10
10,2,10
7,0,10
9,0,10
10,2,10
10,0,10
10,2,10
10,3,10
10,2,10
10,3,10
10,0,10
7,0,10
10,2,10
10,1,10
10,1,10
10,0,10
8,0,10
10,2,10
10,2,10
8,1,10
10,2,10
10,1,10
10,2,10
10,0,10
10,1,10
10,0,10
8,0,10
10,2,10
10,0,10
10,0,10
9,1,10
10,1,10
9,1,10
10,2,10
10,0,10
10,2,10
10,2,10
6,0,10
10,0,10
10,1,10
10,1,10
10,1,10
10,1,10
10,2,10
10,0,10
10,1,10
10,0,10
7,0,10
9,1,10
10,2,10
10,1,10
10,1,10
9,1,10
10,1,10
10,0,10
10,0,10
8,1,10
10,0,10
10,1,10
10,2,10
10,0,10
10,2,10
7,1,10
10,1,10
10,0,10
10,2,10
10,1,10
10,1,10
10,1,10
10,2,10
10,1,10
10,0,10
10,1,10
10,0,10
10,0,10
10,0,10
10,1,10
10,3,10
10,1,10
10,2,10
10,0,10
10,2,10
10,3,10
10,2,10
10,0,10
10,3,10
10,1,10
10,0,10
10,0,10
10,0,10
10,3,10
10,1,10
10,1,10
10,2,10
10,1,10
10,0,10
10,1,10
10,4,10
10,1,10
10,1,10
10,1,10
10,1,10
10,1,10
10,0,10
7,1,10
10,1,10
10,0,10
10,0,10
8,1,10
10,0,10
8,0,10
10,1,10
10,2,10
6,0,10
10,1,10
10,4,10
6,0,10
10,1,10
